date,obs_hours,obs_nominalrate,obs_consumption,obs_gdpdeflator,obs_gdp,obs_wages,obs_investment
1959-09-30,,0.8925,0.8782569833417408,0.3840648486026055,-0.30195964261954256,0.2017108849616034,0.6094130118420971
1959-12-31,,0.9975,-0.07608240264957988,0.3886565893124416,-0.08284153208513167,0.5800750384628128,-1.747515161554225
1960-03-31,,0.9825,0.30304455778911166,0.4052629166765076,1.8478357350331542,1.6934786025020743,2.650857582792465
1960-06-30,,0.925,1.1456656703131562,0.24718910485437284,-0.905063443346954,0.41145969066035404,-2.2758145247410377
1960-09-30,,0.735,-0.7461405787945852,0.34864185350871324,0.11659586682313261,0.25244190376172426,-2.903803640233793
1960-12-31,,0.575,-0.0896719521581879,0.2935979819540968,-1.6561134151868107,0.1449117898877028,-1.0044138421244186
1961-03-31,,0.4975,-0.4316505521318348,0.21515666918312526,0.3072541683491581,0.6561359715092641,-1.6248808680598636
1961-06-30,,0.4325,0.8851198909003433,0.2325651783185556,1.31449237372685,1.1640508788849369,1.1044474102088087
1961-09-30,,0.42,0.2283378231405786,0.25579265010384766,1.5357761454114938,0.4803119199031203,1.7131305990246815
1961-12-31,,0.6,1.3992494714966996,0.31438172822317867,1.573552046125548,0.40357007364044684,2.442408367294735
1962-03-31,,0.615,0.6219079336585498,0.5139273502547503,1.399114845941818,1.0702892938621034,1.0888451774092145
1962-06-30,,0.6525,1.0360118952734254,0.1589591456554018,0.5342486476907382,0.5177351658944507,2.356221125749902
1962-09-30,,0.7125,0.49192327530565017,0.21155323162971307,0.8482156552985565,0.48540042960909524,0.19087163263634688
1962-12-31,,0.73,1.1075422421447323,0.20524856934192037,-0.046863352300308136,0.6960477349954308,-0.9804970094833054
1963-03-31,,0.7425,0.17927069194290102,0.43840491085345157,0.7081334098276937,0.5644162606424863,0.5056374306555922
1963-06-30,,0.74,0.5378453839989472,0.1748252193529698,0.7397700202285584,0.32283921738325283,3.6602936201537872
1963-09-30,,0.8325,1.3218627857546794,0.13382598802915702,1.795054750677072,0.8900942989599536,1.616589004785185
1963-12-31,,0.8625,0.004082132873928224,0.8049848015045935,0.2800454382469342,0.3271252462312413,2.0304598448562694
1964-03-31,-44.645669492148706,0.865,1.7378129011771826,0.31673843751027775,1.7060281067286631,-0.4709038994107684,2.4151408431096533
1964-06-30,-43.360896208536175,0.8725,1.3513444603424407,0.22972672634651303,0.7065447695554061,0.8796910020934412,0.06722472285084491
1964-09-30,-43.8838154340022,0.865,1.383942867937793,0.4007562471320725,1.1723882476718739,0.9052324643288645,0.977644857911053
1964-12-31,-43.66888785511216,0.895,-0.202862767923917,0.45036133470133244,-0.06409813505574569,0.27683065033996535,1.0369950777256443
1965-03-31,-43.10091170233727,0.995,1.6425719200075406,0.5049512870952455,2.014341368834671,-0.10322908256880092,3.5934670869685825
1965-06-30,-42.46931846169739,1.02,0.7621756433330074,0.45735660310617376,0.8820699694477518,0.21620036999354664,2.1554796552734734
1965-09-30,-42.43777415886464,1.02,1.3296810176989915,0.3823451382610532,1.8307821800592095,0.6589772311248132,2.1236026390479834
1965-12-31,-42.17178943501702,1.0425,2.030516068398236,0.6879029391814395,1.9013136798242014,0.7763829901816677,2.3428198080541085
1966-03-31,-41.807461343179185,1.14,1.2015130154154896,0.6389088096651729,2.0326963889367056,1.0773049305734195,2.2301302031762615
1966-06-30,-41.8617853041241,1.2275,-0.11447054681870128,0.8162860393653215,-0.03813199735784867,0.7636624194148456,-0.5380844544798591
1966-09-30,-42.08364061687871,1.3525,0.5541883519981194,0.9621240784230434,0.4617206873687607,0.455734544258124,-1.2230830246068192
1966-12-31,-41.953936801102365,1.39,-0.028879804627823802,0.8343314191068263,0.4339641558684937,0.5114990088644022,-2.7468669288243097
1967-03-31,-43.24638613738491,1.205,0.048137806640635716,0.4145697379706714,0.49059843019672034,0.9339984174557614,-2.3343882716664766
1967-06-30,-43.58987967567633,0.9975,0.9179244664040187,0.5091251384365503,-0.33779512847718074,1.1057913966517119,2.007144037265862
1967-09-30,-43.03567475203695,0.9725,0.08272944305236507,0.9523121474109608,0.5389715746110468,0.3871509526739758,0.46910098742974915
1967-12-31,-42.7789656807439,1.0425,-0.060844037956453434,1.1057982195651572,0.3369589540900053,0.2455736971071265,2.6234869214467715
1968-03-31,-43.61610224376302,1.1975,1.9072921212390126,1.1040628761717741,1.5955430284008587,1.5450986685258905,1.7456157608556677
1968-06-30,-42.926112098647586,1.495,1.0450858067416746,1.0458891289514938,1.2300218451847478,0.5654342874469198,-0.7763239062106964
1968-09-30,-43.169144381439246,1.4875,1.46434643181228,0.979249932606896,0.3276351518698206,0.6437511230171222,0.7241980225301092
1968-12-31,-43.36538722589741,1.48,-0.31081898698557264,1.4010913604165065,-0.06005117124281423,0.5707775609074761,2.6070654087380074
1969-03-31,-42.96044018946796,1.6425,0.5939890046473328,1.0257010856295157,1.0918086415437234,0.33363112753740376,2.405126241343536
1969-06-30,-42.867416514569975,2.0825,0.18413229582656676,1.265060803174256,-0.17284242108872583,0.3332588596128838,-0.136324870187865
1969-09-30,-42.9154578971759,2.245,-0.18927949923939202,1.3940723644942032,0.1741914306909509,0.37945963511444303,0.46054506198964784
1969-12-31,-42.87330987467187,2.235,0.1764825397670755,1.279703054177439,-0.9839378822367628,0.6338185270466812,-2.726378777228111
1970-03-31,-43.654505054365295,2.14,-0.13402222387570717,1.3998147799664906,-0.6573092594777119,0.4023406813511765,-1.6044661545109529
