date,FYCZZA,FTPZAC
1959-06-30,NaN,NaN
1959-09-30,NaN,NaN
1959-12-31,NaN,NaN
1960-03-31,NaN,NaN
1960-06-30,NaN,NaN
1960-09-30,NaN,NaN
1960-12-31,NaN,NaN
1961-03-31,NaN,NaN
1961-06-30,NaN,NaN
1961-09-30,NaN,NaN
1961-12-31,NaN,NaN
1962-03-31,NaN,NaN
1962-06-30,NaN,NaN
1962-09-30,NaN,NaN
1962-12-31,NaN,NaN
1963-03-31,NaN,NaN
1963-06-30,NaN,NaN
1963-09-30,NaN,NaN
1963-12-31,NaN,NaN
1964-03-31,NaN,NaN
1964-06-30,NaN,NaN
1964-09-30,NaN,NaN
1964-12-31,NaN,NaN
1965-03-31,NaN,NaN
1965-06-30,NaN,NaN
1965-09-30,NaN,NaN
1965-12-31,NaN,NaN
1966-03-31,NaN,NaN
1966-06-30,NaN,NaN
1966-09-30,NaN,NaN
1966-12-31,NaN,NaN
1967-03-31,NaN,NaN
1967-06-30,NaN,NaN
1967-09-30,NaN,NaN
1967-12-31,NaN,NaN
1968-03-31,NaN,NaN
1968-06-30,NaN,NaN
1968-09-30,NaN,NaN
1968-12-31,NaN,NaN
1969-03-31,NaN,NaN
1969-06-30,NaN,NaN
1969-09-30,NaN,NaN
1969-12-31,NaN,NaN
1970-03-31,NaN,NaN
1970-06-30,NaN,NaN
1970-09-30,NaN,NaN
1970-12-31,NaN,NaN
1971-03-31,NaN,NaN
1971-06-30,NaN,NaN
1971-09-30,6.237072727,NaN
1971-12-31,5.983596721,NaN
1972-03-31,6.111184127,NaN
1972-06-30,6.189064063,NaN
1972-09-30,6.255196825,NaN
1972-12-31,6.262521667,NaN
1973-03-31,6.44973871,NaN
1973-06-30,6.583796825,NaN
1973-09-30,6.993268254,NaN
1973-12-31,6.648876667,NaN
1974-03-31,6.941291803,NaN
1974-06-30,7.585034921,NaN
1974-09-30,7.929609375,NaN
1974-12-31,7.382844262,NaN
1975-03-31,7.259723333,NaN
1975-06-30,7.706995313,NaN
1975-09-30,7.876917188,NaN
1975-12-31,7.860157377,NaN
1976-03-31,7.5949,NaN
1976-06-30,7.583714286,NaN
1976-09-30,7.57054375,NaN
1976-12-31,7.137860656,NaN
1977-03-31,7.223285714,NaN
1977-06-30,7.298568254,NaN
1977-09-30,7.25057619,NaN
1977-12-31,7.469711667,NaN
1978-03-31,7.876646667,NaN
1978-06-30,8.092911111,NaN
1978-09-30,8.242690476,NaN
1978-12-31,8.479877049,NaN
1979-03-31,8.746259677,NaN
1979-06-30,8.768833871,NaN
1979-09-30,8.742830159,NaN
1979-12-31,9.997262295,NaN
1980-03-31,11.37830806,NaN
1980-06-30,10.22609048,NaN
1980-09-30,10.63751094,NaN
1980-12-31,11.85421475,NaN
1981-03-31,12.36695082,NaN
1981-06-30,12.96887302,NaN
1981-09-30,13.86053594,NaN
1981-12-31,13.48603115,NaN
1982-03-31,13.62088033,NaN
1982-06-30,13.17562698,NaN
1982-09-30,12.53570938,NaN
1982-12-31,10.66765082,NaN
1983-03-31,10.61506667,NaN
1983-06-30,10.55525714,NaN
1983-09-30,11.526475,NaN
1983-12-31,11.55658333,NaN
1984-03-31,11.75935806,NaN
1984-06-30,12.9090746,NaN
1984-09-30,12.51722698,NaN
1984-12-31,11.54263934,NaN
1985-03-31,11.492015,NaN
1985-06-30,10.86433651,NaN
1985-09-30,10.45337302,NaN
1985-12-31,9.9393,NaN
1986-03-31,8.75933,NaN
1986-06-30,7.850604688,NaN
1986-09-30,7.742357813,NaN
1986-12-31,7.658122581,NaN
1987-03-31,7.434254098,NaN
1987-06-30,8.444425397,NaN
1987-09-30,8.9409,NaN
1987-12-31,9.179779032,NaN
1988-03-31,8.624046774,NaN
1988-06-30,9.048347619,NaN
1988-09-30,9.158065625,NaN
1988-12-31,8.916203279,NaN
1989-03-31,9.040991803,NaN
1989-06-30,8.652690625,NaN
1989-09-30,8.066444444,NaN
1989-12-31,7.890117742,NaN
1990-03-31,8.362819355,NaN
1990-06-30,8.599346032,NaN
1990-09-30,8.708215873,2.455048077
1990-12-31,8.443277419,2.321269355
1991-03-31,8.147353333,2.416483333
1991-06-30,8.289810938,2.645475
1991-09-30,8.1369375,2.594925
1991-12-31,7.668734426,2.390213115
1992-03-31,7.645054839,2.67
1992-06-30,7.680669841,2.7645
1992-09-30,7.154098438,2.347885938
1992-12-31,7.179035593,2.471827119
1993-03-31,6.691053333,2.149273333
1993-06-30,6.365598361,1.870413115
1993-09-30,5.89792381,1.556734921
1993-12-31,5.871591803,1.524168852
1994-03-31,6.317390164,1.805432787
1994-06-30,7.223145161,2.240104839
1994-09-30,7.429911111,2.252960317
1994-12-31,7.833501667,2.33172
1995-03-31,7.488425,1.990178333
1995-06-30,6.669133333,1.433198413
1995-09-30,6.42928254,1.33124127
1995-12-31,5.974391935,1.044937097
1996-03-31,6.038417742,1.165679032
1996-06-30,6.800703125,1.704303125
1996-09-30,6.794104762,1.687460317
1996-12-31,6.39403871,1.428351613
1997-03-31,6.596928814,1.571588136
1997-06-30,6.738729688,1.649826563
1997-09-30,6.3198125,1.37356875
1997-12-31,5.975127419,1.118709677
1998-03-31,5.694172131,0.925995082
1998-06-30,5.705734921,0.939801587
1998-09-30,5.3276625,0.703982813
1998-12-31,4.948233871,0.517746774
1999-03-31,5.345745902,0.797704918
1999-06-30,5.8276,1.134212903
1999-09-30,6.219369355,1.359135484
1999-12-31,6.450524194,1.387280645
2000-03-31,6.577565079,1.456622222
2000-06-30,6.315893651,1.190079365
2000-09-30,6.022365079,0.913861905
2000-12-31,5.714204839,0.641024194
2001-03-31,5.305519355,0.703622581
2001-06-30,5.552274603,1.189538095
2001-09-30,5.328180328,1.155860656
2001-12-31,5.177982258,1.40891129
2002-03-31,5.50417,1.719268333
2002-06-30,5.471264063,1.674060938
2002-09-30,4.688610938,1.021820313
2002-12-31,4.445474194,0.875653226
2003-03-31,4.310359016,0.848309836
