"date","obs_gdp","obs_hours","obs_wages","obs_gdpdeflator","obs_corepce","obs_nominalrate","obs_consumption","obs_investment","obs_spread","obs_longinflation","obs_longrate","obs_tfp"
"1959-06-30",1.8781525342861594,NaN,0.53736441155476378,0.27885918262344767,0.50974283460711867,0.76057692300000002,1.2757108828864716,2.8173387262532046,0.174166667,NaN,NaN,1.2948265429608719
"1959-09-30",-0.59288822755343418,NaN,0.17721682086513368,0.4110586190384069,0.64757947960467632,0.88920454500000001,0.83883411852461176,0.54745981339733296,0.15333333299999999,NaN,NaN,-1.2424868898749495
"1959-12-31",0.020189443265539175,NaN,0.57356744232062162,0.3863569088217389,0.57088642203204643,0.997159091,-0.1054943204871206,-1.7236252970226351,0.17249999999999999,NaN,NaN,-0.29774443561208241
"1960-03-31",2.0396090273228751,NaN,1.9318033205253826,0.20123623292418458,0.32317407076414284,0.97596153799999996,0.52659794210410116,2.8878834304305823,0.20583333300000001,NaN,NaN,2.8529908585055646
"1960-06-30",-0.84020319373176999,NaN,0.26867580714480255,0.36120785768036789,0.38311032117239741,0.90865384599999999,1.0499161013691971,-2.3845900760846694,0.24666666700000001,NaN,NaN,-2.9383568350959655
"1960-09-30",-0.21226546429025106,NaN,0.14987127816987744,0.45110711759730471,0.40372811523439189,0.71875,-0.83854122203981252,-2.9872546518168175,0.3175,NaN,NaN,-0.85502350176263198
"1960-12-31",-1.7171253879989079,NaN,-0.00070588347327316114,0.44908127657485863,0.33061524494826244,0.56442307700000005,-0.24589250314315247,-1.1817153708972294,0.30249999999999999,NaN,NaN,-1.6412553858206032
"1961-03-31",0.40371934462730685,NaN,0.75275539155237325,0.11337226995191685,0.17039056531276131,0.49376923099999998,-0.32010433139504357,-1.5857930802526399,0.31916666700000001,NaN,NaN,0.25367215041128116
"1961-06-30",1.5093123552953447,NaN,1.185288165446563,0.20940045570028154,0.32896570047262763,0.42788461500000002,0.89643058486175153,1.1403098883297491,0.306666667,NaN,NaN,3.4058460634547596
"1961-09-30",1.3323534898700196,NaN,0.51812231065238024,0.22024574765024951,0.44239401461467764,0.43269230800000003,0.27253117334771204,1.8143940176071682,0.28166666699999998,NaN,NaN,0.91549085850556478
"1961-12-31",1.7269332703488516,NaN,0.49630962689457547,0.23664649312902242,0.25036751770981525,0.59423076900000005,1.4837058126180303,2.4336040192815878,0.28499999999999998,NaN,NaN,1.3199026232114472
"1962-03-31",1.4374298638603733,NaN,1.0744774129938683,0.50522168764253195,0.37437986268491485,0.60576923100000002,0.61910296830338662,1.176159873029381,0.26166666700000002,NaN,NaN,0.18387321144674118
"1962-06-30",0.59100100363562724,NaN,0.39545298499921167,0.27399575393562969,0.38377388255486089,0.65288461499999995,0.92817047909625749,2.2444765718800719,0.28499999999999998,NaN,NaN,0.095637917329094116
"1962-09-30",0.54813665255935007,NaN,0.45399256364944129,0.23425745555685218,0.31241609035910223,0.71153846200000004,0.458601954815685,0.15697762928057468,0.26416666700000002,NaN,NaN,0.97063791732909421
"1962-12-31",-0.035529244658927261,NaN,0.69200827931306108,0.23370997227267765,0.17731930171991372,0.731856061,1.0949055433634669,-1.0437643621632464,0.263333333,NaN,NaN,0.98534379968203534
"1963-03-31",0.69001151041607756,NaN,0.49776730212420794,0.48791403070156392,0.32694655949510043,0.73886718799999995,0.092762925625300419,0.43786720530827328,0.25,NaN,NaN,-0.070845098830173175
"1963-06-30",0.99664551121736444,NaN,0.42316620949169881,0.077403663951969293,0.35787768880339854,0.73850000000000005,0.64290791359524757,3.7658785841041209,0.2225,NaN,NaN,0.78363251311012538
"1963-09-30",1.5910060895863332,NaN,0.91672312363435537,0.099431041722253255,0.37253901521068222,0.82492424200000003,1.3541773763702691,1.6694875544712495,0.200833333,NaN,NaN,1.8246772892295284
"1963-12-31",0.47564412367850917,NaN,0.49552682337012932,0.65487398005554809,0.4875214997569266,0.85893939399999997,0.17847414154230634,2.1520400849832866,0.17999999999999999,NaN,NaN,-0.18278539733763588
"1964-03-31",1.7038859649079585,-44.646094592186891,-0.4555266234986366,0.37776180260475911,0.4325357518876416,0.86253846199999995,1.6735046766124695,2.3311239360844893,0.16250000000000001,NaN,NaN,1.1567668414683343
"1964-06-30",0.75832455514861508,-43.361320099930012,0.80513216274096244,0.30009571014222303,0.31006147235936865,0.87076923100000003,1.2947239571862834,0.080145239239903798,0.16250000000000001,NaN,NaN,0.23512505042355819
"1964-09-30",0.87145846734835164,-43.883763352744332,0.79952571730705913,0.49997386906444063,0.29340899179914892,0.859848485,1.281578585625387,0.80646335082745768,0.1575,NaN,NaN,0.79482654296087174
"1964-12-31",0.0027614025750022364,-43.668361694001057,0.31848893938084544,0.42733951923938918,0.26124681768875391,0.88314393899999999,-0.18868239043081658,1.1252458737234239,0.15916666700000001,NaN,NaN,-0.67532271077047179
"1965-03-31",2.1297343640285904,-43.10134243285848,-0.043965016171165772,0.43089585145308362,0.36980171833826958,0.98894531299999999,1.7210074648146723,3.6401626697001976,0.14583333300000001,NaN,NaN,2.0795966420966425
"1965-06-30",0.98409480879688704,-42.468807655774299,0.21239565961104212,0.46115154918129342,0.30626305441034951,1.0158076920000001,0.75617363580293695,2.163445254275731,0.15333333299999999,NaN,NaN,-0.26131244881244858
"1965-09-30",1.5689930606096247,-42.523662821044717,0.5903151166510856,0.45903469981758427,0.31049497103889934,1.013295455,1.2501555450362467,1.99649793125799,0.16083333299999999,NaN,NaN,1.7917178542178547
